month,p,d,e,cpi,gs10
1871-01,4.44,0.26,0.4,12.464061,5.32
1871-02,4.5,0.26,0.4,12.844641,5.323333
1871-03,4.61,0.26,0.4,13.034972,5.326667
1871-04,4.74,0.26,0.4,12.559226,5.33
1871-05,4.86,0.26,0.4,12.273812,5.333333
1871-06,4.82,0.26,0.4,12.083481,5.336667
1871-07,4.73,0.26,0.4,12.083481,5.34
1871-08,4.79,0.26,0.4,11.893231,5.343333
1871-09,4.84,0.26,0.4,12.178646,5.346667
1871-10,4.59,0.26,0.4,12.368896,5.35
1871-11,4.64,0.26,0.4,12.368896,5.353333
1871-12,4.74,0.26,0.4,12.654392,5.356667
1872-01,4.86,0.2633,0.4025,12.654392,5.36
1872-02,4.88,0.2667,0.405,12.654392,5.378333
1872-03,5.04,0.27,0.4075,12.844641,5.396667
1872-04,5.18,0.2733,0.41,13.130137,5.415
1872-05,5.18,0.2767,0.4125,13.130137,5.433333
1872-06,5.13,0.28,0.415,13.034972,5.451667
1872-07,5.1,0.2833,0.4175,12.844641,5.47
1872-08,5.04,0.2867,0.42,12.939807,5.488333
1872-09,4.95,0.29,0.4225,13.034972,5.506667
1872-10,4.97,0.2933,0.425,12.749476,5.525
1872-11,4.95,0.2967,0.4275,13.130137,5.543333
1872-12,5.07,0.3,0.43,12.939807,5.561667
1873-01,5.11,0.3025,0.4325,12.939807,5.58
1873-02,5.15,0.305,0.435,13.225221,5.570833
1873-03,5.11,0.3075,0.4375,13.225221,5.561667
1873-04,5.04,0.31,0.44,13.225221,5.5525
1873-05,5.05,0.3125,0.4425,12.939807,5.543333
1873-06,4.98,0.315,0.445,12.559226,5.534167
1873-07,4.97,0.3175,0.4475,12.559226,5.525
1873-08,4.97,0.32,0.45,12.559226,5.515833
1873-09,4.59,0.3225,0.4525,12.559226,5.506667
1873-10,4.19,0.325,0.455,12.273812,5.4975
1873-11,4.04,0.3275,0.4575,11.893231,5.488333
1873-12,4.42,0.33,0.46,12.178646,5.479167
1874-01,4.66,0.33,0.46,12.368896,5.47
1874-02,4.8,0.33,0.46,12.368896,5.436667
