month,gold,total,energy,non_energy,agriculture,metals_minerals,precious_metals
1960-01,35.27,7.64,2.1344,18.8159,22.0321,12.8959,3.2687
1960-02,35.27,7.6,2.1344,18.6815,21.8085,12.9291,3.2687
1960-03,35.27,7.6,2.1344,18.6723,21.8961,12.7206,3.2687
1960-04,35.27,7.65,2.1344,18.8314,22.0395,12.9296,3.2687
1960-05,35.27,7.63,2.1344,18.7748,22.0493,12.7307,3.2687
1960-06,35.27,7.57,2.1344,18.5825,21.7425,12.7511,3.2687
1960-07,35.27,7.56,2.1344,18.5606,21.6823,12.8055,3.2687
1960-08,35.27,7.55,2.1344,18.5402,21.7262,12.6508,3.2687
1960-09,35.27,7.57,2.1344,18.5918,21.8784,12.5019,3.2687
1960-10,35.27,7.41,2.1344,18.1079,21.2185,12.3243,3.2687
1960-11,35.27,7.33,2.1344,17.8611,20.7651,12.4731,3.2687
1960-12,35.27,7.4,2.1344,18.0661,21.1109,12.4125,3.2687
1961-01,35.25,7.36,2.0833,18.0763,21.2227,12.2117,3.2675
1961-02,35.25,7.46,2.0833,18.3799,21.6543,12.2873,3.2675
1961-03,35.25,7.59,2.0833,18.7461,22.1994,12.3282,3.2675
1961-04,35.25,7.64,2.0833,18.9196,22.4381,12.3875,3.2675
1961-05,35.25,7.64,2.0833,18.9234,22.3539,12.5721,3.2675
1961-06,35.25,7.55,2.0833,18.6521,21.9821,12.4763,3.2675
1961-07,35.25,7.51,2.0833,18.5311,21.8421,12.3807,3.2675
1961-08,35.25,7.47,2.0833,18.3919,21.6191,12.3975,3.2675
1961-09,35.25,7.42,2.0833,18.2307,21.3858,12.3658,3.2675
1961-10,35.25,7.41,2.0833,18.2009,21.3537,12.3374,3.2675
1961-11,35.25,7.45,2.0833,18.3484,21.5816,12.3366,3.2763
1961-12,35.25,7.46,2.0833,18.3595,21.5899,12.3546,3.3797
1962-01,35.23,7.37,2.0429,18.1749,21.3169,12.3642,3.3875
1962-02,35.23,7.39,2.0429,18.2302,21.414,12.3401,3.3705
1962-03,35.23,7.38,2.0429,18.197,21.4113,12.2402,3.3614
1962-04,35.23,7.38,2.0429,18.2164,21.4472,12.2281,3.3614
1962-05,35.23,7.43,2.0429,18.347,21.6567,12.2117,3.3614
1962-06,35.23,7.4,2.0429,18.2713,21.5524,12.1862,3.3686
1962-07,35.23,7.38,2.0429,18.2171,21.4773,12.1686,3.3806
1962-08,35.23,7.35,2.0429,18.127,21.3465,12.1519,3.4252
1962-09,35.23,7.38,2.0429,18.2193,21.4893,12.1511,3.4925
1962-10,35.23,7.33,2.0429,18.0635,21.2412,12.1668,3.5408
1962-11,35.23,7.44,2.0429,18.3846,21.7279,12.1849,3.5273
1962-12,35.23,7.43,2.0429,18.3615,21.696,12.1772,3.5339
1963-01,35.09,7.49,2.0146,18.608,22.0774,12.1685,3.5674
1963-02,35.09,7.55,2.0146,18.7749,22.3293,12.1799,3.5792
1963-03,35.09,7.56,2.0146,18.815,22.3841,12.1945,3.5933
1963-04,35.09,7.64,2.0146,19.0448,22.7262,12.2201,3.5845
1963-05,35.09,7.8,2.0146,19.5399,23.4794,12.2422,3.59
1963-06,35.09,7.79,2.0146,19.4935,23.4024,12.2533,3.5882
1963-07,35.09,7.74,2.0146,19.3605,23.2026,12.2422,3.6005
1963-08,35.09,7.61,2.0146,18.965,22.5842,12.2586,3.5995
1963-09,35.09,7.64,2.0146,19.0417,22.6969,12.2702,3.6076
1963-10,35.09,7.87,2.0146,19.7577,23.7242,12.4294,3.6075
1963-11,35.09,7.88,2.0146,19.7754,23.7366,12.4596,3.6125
1963-12,35.09,7.86,2.0146,19.7084,23.5847,12.5594,3.6136
1964-01,35.1,7.93,1.9444,20.0592,23.984,12.5121,3.624
1964-02,35.1,7.84,1.9444,19.8086,23.4848,12.7429,3.6244
1964-03,35.1,7.85,1.9444,19.8279,23.2801,13.224,3.6244
1964-04,35.1,7.94,1.9444,20.093,23.3562,13.9065,3.6244
1964-05,35.1,7.89,1.9444,19.9604,23.185,13.8381,3.6244
1964-06,35.1,7.8,1.9444,19.6853,22.7781,13.802,3.6244
1964-07,35.1,7.81,1.9444,19.7061,22.6496,14.1315,3.6244
